枠名,song_id,歌唱順,配信日,枠URL,コラボ相手様
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0046,15,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=6801,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0047,16,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=7064,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0048,17,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=8061,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0049,18,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=8362,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0050,19,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=8913,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0051,20,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=9420,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0052,1,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=213,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0053,2,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=560,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0022,3,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=695,
【縦型歌枠 /#karaoke 】チャンネル登録7000名様耐久【深影 / RK Music】#ghostreaming #歌枠,S0054,4,2025-07-02,https://www.youtube.com/live/zK_9OiA3LmU?si=j5cP0YfGvpOfm5mT&t=1825,
